hazard,surface,factor,direction,surface_scope,threshold,threshold_value
extreme_rainfall_operational,paved,era5_tp_1h_max_weekly_mm_per_h,gte,paved,speed_reduction_1,6.35
extreme_rainfall_operational,paved,era5_tp_1h_max_weekly_mm_per_h,gte,paved,speed_reduction_2,20.0
extreme_rainfall_operational,paved,era5_tp_1h_max_weekly_mm_per_h,gte,paved,speed_reduction_3,30.0
flood_extent_binary_proxy,paved,flood_weekly,gte,paved,catastrophic_temporary,1.0
flood_extent_binary_proxy,unpaved,flood_weekly,gte,unpaved,catastrophic_temporary,1.0
wind_crosswind,paved,era5_crosswind_10m_weekly_max_m_s,gte,paved,speed_reduction_1,20.0
wind_crosswind,paved,era5_crosswind_10m_weekly_max_m_s,gte,paved,speed_reduction_2,30.0
wind_crosswind,paved,era5_crosswind_10m_weekly_max_m_s,gte,paved,speed_reduction_3,35.0
wind_crosswind,unpaved,era5_crosswind_10m_weekly_max_m_s,gte,unpaved,speed_reduction_1,20.0
wind_crosswind,unpaved,era5_crosswind_10m_weekly_max_m_s,gte,unpaved,speed_reduction_2,30.0
wind_crosswind,unpaved,era5_crosswind_10m_weekly_max_m_s,gte,unpaved,speed_reduction_3,35.0
dust_visibility,paved,visibility_weekly_min_m,lte,paved,speed_reduction_1,3000.0
dust_visibility,paved,visibility_weekly_min_m,lte,paved,speed_reduction_2,1000.0
dust_visibility,paved,visibility_weekly_min_m,lte,paved,speed_reduction_3,500.0
dust_visibility,paved,visibility_weekly_min_m,lte,paved,catastrophic_temporary,200.0
dust_visibility_surface_wear,unpaved,visibility_weekly_min_m,lte,unpaved,speed_reduction_1,3000.0
dust_visibility_surface_wear,unpaved,visibility_weekly_min_m,lte,unpaved,speed_reduction_2,1000.0
dust_visibility_surface_wear,unpaved,visibility_weekly_min_m,lte,unpaved,speed_reduction_3,500.0
dust_visibility_surface_wear,unpaved,visibility_weekly_min_m,lte,unpaved,catastrophic_temporary,200.0
